status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls
115634898452178_1346121632070159,"Kui üldiselt tähendab uus hinnakiri krõbedamaid hindu, siis Viljandi valla elanikud on juba kätte saanud või kohe saavad juulist kehtima hakkava prügiveolepingu, mille järgi hakkab konteineritühjendus maksma kõigest ühe sendi.",Prügivedu muutub paljudele vallaelanikele uskumatult odavaks,link,http://sakala.postimees.ee/3731615/prugivedu-muutub-paljudele-vallaelanikele-uskumatult-odavaks?_ga=1.44968804.1144324660.1465601652&utm_source=pm_fb&utm_medium=wallpost&utm_content=3731615&utm_campaign=fb_post,2016-06-14 03:00:00,47,5,15,41,0,6,0,0,0,0
115634898452178_1346121388736850,"Selgunud on, milline hakkab tulevikus välja nägema kaksiklinna süda. Uus keskväljak peaks valmima juba järgmise aasta jõuludeks.",Selgus Valga tulevase kesklinna ilme,link,http://valgamaalane.postimees.ee/3731619/selgus-valga-tulevase-kesklinna-ilme?_ga=1.12553076.1144324660.1465601652&utm_source=pm_fb&utm_medium=wallpost&utm_content=3731619&utm_campaign=fb_post,2016-06-14 02:30:00,7,0,0,7,0,0,0,0,0,0
115634898452178_1346155365400119,,Kohus mõistis Rõivast ähvardanud mehele reaalse vangistuse,link,http://www.postimees.ee/3731709/kohus-moistis-roivast-ahvardanud-mehele-reaalse-vangistuse?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731709&utm_campaign=fb_post,2016-06-14 02:22:28,147,44,16,80,0,11,6,5,45,0
115634898452178_1346144225401233,"Täna, 14. juunil meenutatakse Tallinnas Vabaduse väljakul 1941. aasta küüditamise ohvreid mälestustseremoonia ja kujundliku pisarate merega.",Galerii: juuniküüditamise mälestuseks tõuseb lendu pisarate meri,link,http://tallinncity.postimees.ee/3731723/galerii-juunikuuditamise-malestuseks-touseb-lendu-pisarate-meri?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731723&utm_campaign=fb_post,2016-06-14 02:15:00,553,13,64,460,3,11,0,79,1,0
115634898452178_1346120778736911,"1941. aasta juuniküüditamise all kannatanud Eesti, Läti, Leedu, Poola ja Ukraina justiitsministrid tegid ühisavalduse, milles taunisid seda, et Nõukogude Liidu õigusjärglane Venemaa Föderatsioon pole teinud midagi, et kunagisi kuritegusid mingilgi moel heastada. Postimees avaldab ühisavalduse.",Viie riigi justiitsministrid tegid ühisavalduse: Nõukogude Liit ei suutnud inimhinge tappa,link,http://www.postimees.ee/3731659/viie-riigi-justiitsministrid-tegid-uhisavalduse-noukogude-liit-ei-suutnud-inimhinge-tappa?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731659&utm_campaign=fb_post,2016-06-14 02:00:00,60,5,7,53,0,0,0,5,2,0
115634898452178_1346120625403593,"Tallinnas sõitis eile õhtul autoga jalakäijale otsa ilma juhtimisõiguseta noor naine, kes pärast juhtunut lahkus teadmata suunas.",Noor naine põgenes pärast autoga jalakäijale otsasõitmist,link,http://tallinncity.postimees.ee/3731629/noor-naine-pogenes-parast-autoga-jalakaijale-otsasoitmist?utm_source=tallinnapm_fb&utm_medium=wallpost&utm_content=3731629&utm_campaign=fb_post,2016-06-14 01:30:00,19,4,2,5,2,0,0,0,12,0
115634898452178_1346118418737147,Prantsusmaa pealinna Pariisi lähedal Magnanville'is sai kolm inimest surma pantvangidraamas ja sellele eelnenud pussitamises.,Prantsusmaal sai pantvangidraamas kolm inimest surma,link,http://maailm.postimees.ee/3731591/prantsusmaal-sai-pantvangidraamas-kolm-inimest-surma?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731591&utm_campaign=fb_post,2016-06-14 01:00:12,5,0,1,1,0,1,0,3,0,0
115634898452178_1332607840088205,Liigutavat leinapäeva!,Troost,link,http://armastan.postimees.ee/troost/?utm_source=pm_fb&utm_medium=wallpost&utm_campaign=armastan,2016-06-14 00:10:00,289,4,65,198,13,0,0,78,0,0
115634898452178_1345842218764767,"Kui kasvatad taimi, aga mingil põhjusel ei saa või ei taha aeda kompostikasti rajada, kulub see lahendus sulle kahtlemata marjaks ära.",Geniaalne taimekasvatusnipp kõigile aiapidajatele,link,http://kodu.postimees.ee/3731549/geniaalne-taimekasvatusnipp-koigile-aiapidajatele?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731549&utm_campaign=fb_post,2016-06-13 15:45:00,27,0,21,26,0,1,0,0,0,0
115634898452178_1345841915431464,"Peaminister Taavi Rõivase eluasemelaenude koormus on kasvanud, samas ei maksa peaminister enam autoliisingut, selgub huvide deklaratsioonist.",Peaministri eluasemelaenude koormus on kasvanud,link,http://majandus24.postimees.ee/3731573/peaministri-eluasemelaenude-koormus-on-kasvanud?utm_source=pm_fb&utm_medium=wallpost&utm_content=3731573&utm_campaign=fb_post,2016-06-13 15:30:00,17,12,6,11,1,1,1,3,0,0
